counter,time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,cube_pose_x,cube_pose_y,right_gripper
0,19.956000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.2,0.0
1,20.156000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.2,0.0
2,20.356000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.2,0.0
3,20.557000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.2,0.0
4,20.760000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.2,0.0
5,21.146000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.21,0.0
6,21.347000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.21,0.0
7,21.547000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.21,0.0
8,21.747000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.21,0.0
9,21.950000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.68,0.21,0.0
10,22.333000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.59,-0.27,0.0
11,22.534000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.59,-0.27,0.0
12,22.734000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.59,-0.27,0.0
13,22.935000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.59,-0.27,0.0
14,23.135000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.59,-0.27,0.0
15,23.576000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.39,0.0
16,23.777000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.39,0.0
17,23.977000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.39,0.0
18,24.177000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.39,0.0
19,24.379000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.39,0.0
20,24.678000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
